actions,baseline,age_group__1,age_group__2,age_group__3,age_group__4,gender_M,gender_F,education_Low,education_Medium,education_High,education_unknown,Unemployed_yes,Unemployed_no,Have_partner_yes,Have_partner_no,Have_partner_unknown,Depressed_yes,Depressed_no,Depressed_unknown,Children_presence_yes,Children_presence_no,Children_presence_unknown,housing_financial_difficulties_yes,housing_financial_difficulties_no,housing_financial_difficulties_unknown,selfrated_health_good,selfrated_health_average,selfrated_health_poor,selfrated_health_unknown,critical_job_yes,critical_job_no,critical_job_unknown,bmi_underweight,bmi_normalweight,bmi_overweight,bmi_obese,bmi_unknown,livesalone_no,livesalone_yes,livesalone_unknown,income_median_above,income_median_below,income_median_unknown
work_from_home,-0.39,0.29,0.25,,0.04,-0.07,,-0.86,,1.35,0.77,0.01,,0.04,,0,-0.7,,-0.11,0.17,,0.07,0.07,,-0.055,-0.09,,-0.04,0.08,-1.18,,0,-0.19,,-0.01,-0.18,-0.14,,0.15,0,0.31,,0.03
maintain_social_distance,2.98,-0.21,0,,0.36,-0.36,,-0.53,,0.54,0,-0.7,,-0.06,,-0.07,-0.51,,-0.06,0.52,,0.045,-0.16,,0.042,0.33,,0.11,-0.097,0.01,,0,0.55,,0.26,-0.26,0,,-0.43,0,0.09,,-0.027
exercise,0.38,-0.43,-0.13,,0.13,-0.02,,-0.21,,0.16,0.02,0.11,,0.15,,0.15,-0.38,,-0.17,-0.05,,-0.01,-0.08,,-0.08,0.32,,-0.43,0.09,-0.03,,0,0.42,,-0.16,-0.49,0,,0,0,0.09,,-0.09
feel_socially_connected,2.19,-0.52,-0.23,,0.47,-0.22,,0.07,,0.14,-0.017,-0.44,,-0.08,,0.049,-0.49,,0.09,0.11,,-0.029,-0.07,,-0.016,0.2,,-0.35,0.045,-0.09,,0,-0.34,,-0.13,-0.17,0,,-0.3,0,0.1,,-0.015
seek_help_from_friends,0.59,0.39,0.21,,0.06,-0.22,,0.18,,-0.03,0,0,,-0.07,,-0.039,-0.45,,0.32,-0.05,,0.023,-0.19,,0.064,0.19,,-0.19,-0.055,0.04,,0,-0.55,,-0.07,-0.06,0,,-0.06,0,0.01,,0.04
heavy_drinking,-0.9,-0.36,-0.02,,0.2,-0.44,,0.2,,0,-0.09,0.19,,-0.1,,-0.09,0.44,,-0.23,-0.16,,0.03,0.3,,-0.046,-0.01,,0.6,0.54,-0.04,,0,-0.38,,-0.03,-0.23,0,,0.13,0,-0.02,,-0.016
positive_coping,-0.02,0.22,0.29,,-0.09,-0.16,,-0.08,,0.25,0.014,-0.1,,0.35,,0.37,-0.16,,0.041,0.12,,0.025,-0.24,,0.038,0.08,,-0.2,-0.027,-0.25,,0,0.25,,-0.1,-0.22,0,,0.12,0,0.01,,-0.011
feel_isolated,-0.28,0.44,0.1,,-0.02,-0.23,,0.14,,-0.03,0.01,0.13,,-0.16,,-0.033,0.19,,-0.027,0.1,,0.04,0,,0.023,-0.32,,0.27,0.04,0.13,,0,0,,0.06,0.11,0,,0.04,0,0.16,,0.016
be_sedentary,-0.91,0.33,0.29,,-0.26,0.05,,-0.24,,0.38,0.14,0.18,,0.08,,-0.09,0.14,,-0.038,-0.15,,-0.06,0.05,,0.073,-0.06,,0.09,-0.071,-0.54,,0,0.25,,0.38,0.34,0,,0.16,0,0.22,,0.04
