actions,baseline,age_group__1,age_group__2,age_group__3,age_group__4,gender_M,gender_F,education_Low,education_Medium,education_High,education_unknown,Unemployed_yes,Unemployed_no,Have_partner_yes,Have_partner_no,Have_partner_unknown,Depressed_yes,Depressed_no,Depressed_unknown,Children_presence_yes,Children_presence_no,Children_presence_unknown,housing_financial_difficulties_yes,housing_financial_difficulties_no,housing_financial_difficulties_unknown,selfrated_health_good,selfrated_health_average,selfrated_health_poor,selfrated_health_unknown,critical_job_yes,critical_job_no,critical_job_unknown,bmi_underweight,bmi_normalweight,bmi_overweight,bmi_obese,bmi_unknown,livesalone_no,livesalone_yes,livesalone_unknown,income_median_above,income_median_below,income_median_unknown
work_from_home,-0.25,0.38,0.17,,-0.57,0.08,,-0.82,,1.02,0.61,-0.07,,-0.08,,-0.015,-0.52,,-0.39,0.19,,-0.03,-0.07,,-0.025,0.11,,-0.03,-0.12,-1.51,,0,0.32,,-0.04,0.26,0.09,,0.06,0,0.39,,0.33
maintain_social_distance,2.91,-1.09,-0.85,,0.74,-0.82,,0.5,,0.75,-0.61,-0.35,,0.32,,0.13,0.43,,-0.09,-0.1,,-0.12,-0.42,,0.2,-0.31,,-0.02,-0.174,-0.46,,0,0,,-0.82,-0.04,0,,-0.87,0,-0.27,,-0.11
exercise,-0.07,-0.49,-0.21,,0.27,-0.14,,-0.34,,0.28,0.14,-0.04,,0.42,,0.099,-0.26,,-0.47,0.21,,-0.08,-0.22,,-0.54,0.23,,-0.1,0.081,0.04,,0,0.31,,-0.17,-0.65,-0.011,,0.4,0,0.11,,0.24
feel_socially_connected,2.04,-0.27,-0.37,,0.27,-0.66,,-0.24,,0.18,-0.11,-0.47,,0.04,,-0.093,-1.2,,-0.85,-0.02,,-0.091,-0.28,,0.072,0.28,,-0.38,0.26,-0.08,,0,-0.14,,-0.03,-0.03,0,,-0.18,0,0.36,,0.26
seek_help_from_friends,0.9,0.43,0.18,,0.08,-0.23,,0.12,,0.16,-0.06,0.01,,-0.3,,-0.091,-0.41,,-0.12,-0.06,,-0.127,-0.25,,0.38,0.08,,0.16,-0.044,-0.44,,0,-0.65,,0.07,0.12,-0.121,,-0.17,0,-0.25,,-0.1
heavy_drinking,-0.59,-0.84,-0.46,,0.39,-0.4,,0.07,,0.47,0.45,-0.05,,-0.01,,0.054,0.19,,-0.096,-0.19,,-0.053,0.3,,0.19,0.06,,0,-0.04,-0.09,,0,-0.03,,0.01,0.35,0,,0.23,0,0.15,,0.02
positive_coping,-0.25,0.21,0.11,,-0.21,-0.03,,-0.07,,0.21,0.08,-0.15,,-0.02,,0.01,-2,,-0.36,0.19,,0.06,-0.2,,-0.12,0.25,,-0.27,0.115,-0.2,,0,0.29,,-0.05,-0.08,0.23,,-0.04,0,-0.02,,-0.14
feel_isolated,0.28,0.33,0.06,,0.14,-0.24,,0.03,,-0.08,-0.1,0.1,,0.03,,-0.061,0.36,,0.02,0.08,,0.06,0.02,,-0.026,-0.27,,0.29,0.28,0.02,,0,0.62,,0.07,0.08,0.093,,0.19,0,-0.02,,0.05
be_sedentary,0.37,0.48,0.35,,-0.05,0.16,,-0.44,,0.35,0.05,-0.01,,-0.16,,-0.085,0.25,,0,-0.04,,0.062,0.03,,-0.091,0.04,,0.11,0.072,-0.39,,0,0.04,,-0.01,0.14,0.03,,0.1,0,0.29,,-0.04
