"","gender","age_group","education","unemployed","have_partner","depressed","children_presence","housing_financial_difficulties","selfrated_health","critical_job","weight"
"71","m","_4","high","yes","no","yes","yes","yes","good","yes",0.0358144289515195
"72","f","_4","high","yes","no","yes","yes","yes","good","yes",0.0168985875375657
"73","m","_1","low","no","no","yes","yes","yes","good","yes",2.3328360016549e-06
"74","f","_1","low","no","no","yes","yes","yes","good","yes",1.19281567959081e-06
"75","m","_2","low","no","no","yes","yes","yes","good","yes",7.36689967138174e-05
"76","f","_2","low","no","no","yes","yes","yes","good","yes",3.27698498895952e-05
"77","m","_3","low","no","no","yes","yes","yes","good","yes",0.000302751457774009
"78","f","_3","low","no","no","yes","yes","yes","good","yes",0.000146222693589778
"79","m","_4","low","no","no","yes","yes","yes","good","yes",9.56625871779655e-05
"80","f","_4","low","no","no","yes","yes","yes","good","yes",3.22408016338904e-05
"81","m","_1","middle","no","no","yes","yes","yes","good","yes",0.000163632167881302
"82","f","_1","middle","no","no","yes","yes","yes","good","yes",0.000124140182281519
"83","m","_2","middle","no","no","yes","yes","yes","good","yes",0.00163031215868554
"84","f","_2","middle","no","no","yes","yes","yes","good","yes",0.00107600683091545
"85","m","_3","middle","no","no","yes","yes","yes","good","yes",0.00394753774188496
"86","f","_3","middle","no","no","yes","yes","yes","good","yes",0.00282884656384969
"87","m","_4","middle","no","no","yes","yes","yes","good","yes",0.000896967900652066
"88","f","_4","middle","no","no","yes","yes","yes","good","yes",0.0004485337995176
"89","m","_1","high","no","no","yes","yes","yes","good","yes",0.000257329167454191
"90","f","_1","high","no","no","yes","yes","yes","good","yes",0.000167904249185869
"91","m","_2","high","no","no","yes","yes","yes","good","yes",0.00161302869689349
"92","f","_2","high","no","no","yes","yes","yes","good","yes",0.000915620130499327
"93","m","_3","high","no","no","yes","yes","yes","good","yes",0.00288932390376407
"94","f","_3","high","no","no","yes","yes","yes","good","yes",0.00178077196241706
"95","m","_4","high","no","no","yes","yes","yes","good","yes",0.00082521653032682
"96","f","_4","high","no","no","yes","yes","yes","good","yes",0.000354907494387157
"97","m","_1","low","yes","yes","no","yes","yes","good","yes",0.00601625512150548
"98","f","_1","low","yes","yes","no","yes","yes","good","yes",0.00345216770425486
"99","m","_2","low","yes","yes","no","yes","yes","good","yes",0.160537504716687
"100","f","_2","low","yes","yes","no","yes","yes","good","yes",0.080138777968278
"101","m","_3","low","yes","yes","no","yes","yes","good","yes",0.499939117056398
"102","f","_3","low","yes","yes","no","yes","yes","good","yes",0.270970595853937
"103","m","_4","low","yes","yes","no","yes","yes","good","yes",0.136867184932821
"104","f","_4","low","yes","yes","no","yes","yes","good","yes",0.0517653976932778
"105","m","_1","middle","yes","yes","no","yes","yes","good","yes",0.121498130110408
"106","f","_1","middle","yes","yes","no","yes","yes","good","yes",0.103440306628009
"107","m","_2","middle","yes","yes","no","yes","yes","good","yes",1.02287224620457
"108","f","_2","middle","yes","yes","no","yes","yes","good","yes",0.757603838671318
"109","m","_3","middle","yes","yes","no","yes","yes","good","yes",1.87679155805093
"110","f","_3","middle","yes","yes","no","yes","yes","good","yes",1.50930028134336
"111","m","_4","middle","yes","yes","no","yes","yes","good","yes",0.369481747195409
"112","f","_4","middle","yes","yes","no","yes","yes","good","yes",0.207342233719003
"113","m","_1","high","yes","yes","no","yes","yes","good","yes",0.419451289527021
"114","f","_1","high","yes","yes","no","yes","yes","good","yes",0.307135994852447
"115","m","_2","high","yes","yes","no","yes","yes","good","yes",2.22169445155321
"116","f","_2","high","yes","yes","no","yes","yes","good","yes",1.41525298491082
"117","m","_3","high","yes","yes","no","yes","yes","good","yes",3.01562677051786
"118","f","_3","high","yes","yes","no","yes","yes","good","yes",2.08576886009276
"119","m","_4","high","yes","yes","no","yes","yes","good","yes",0.746235001239911
"120","f","_4","high","yes","yes","no","yes","yes","good","yes",0.36016323380785
"121","m","_1","low","no","yes","no","yes","yes","good","yes",0.000257902589561592
"122","f","_1","low","no","yes","no","yes","yes","good","yes",0.000134888902188183
"123","m","_2","low","no","yes","no","yes","yes","good","yes",0.00442654219947462
"124","f","_2","low","no","yes","no","yes","yes","good","yes",0.00201412162541834
"125","m","_3","low","no","yes","no","yes","yes","good","yes",0.0127388779282483
"126","f","_3","low","no","yes","no","yes","yes","good","yes",0.00629348352674293
"127","m","_4","low","no","yes","no","yes","yes","good","yes",0.00484277098035945
"128","f","_4","low","no","yes","no","yes","yes","good","yes",0.0016695100113484
"129","m","_1","middle","no","yes","no","yes","yes","good","yes",0.00652941299029737
